index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
65,UTA,UTA @ LAL,04/08/2018,W,240,112,42,83,50.6,13,36,36.1,15,22,68.2,7,38,45,35,8,4,18,24,15
66,LAL,LAL vs. UTA,04/08/2018,L,240,97,37,93,39.8,5,25,20.0,18,22,81.8,12,32,44,20,8,4,14,22,-15
67,DAL,DAL @ PHI,04/08/2018,L,240,97,40,94,42.6,11,40,27.5,6,13,46.2,10,33,43,24,6,6,12,9,-12
68,PHI,PHI vs. DAL,04/08/2018,W,240,109,46,91,50.5,8,27,29.6,9,14,64.3,9,43,52,32,9,4,11,19,12
69,LAC,LAC vs. DEN,04/07/2018,L,240,115,43,87,49.4,6,17,35.3,23,34,67.6,15,23,38,25,6,0,11,19,-19
70,DEN,DEN @ LAC,04/07/2018,W,240,134,53,85,62.4,12,29,41.4,16,23,69.6,7,26,33,36,4,6,8,26,19
71,HOU,HOU vs. OKC,04/07/2018,L,240,102,36,76,47.4,14,37,37.8,16,23,69.6,6,35,41,23,7,5,18,24,-6
72,OKC,OKC @ HOU,04/07/2018,W,240,108,36,91,39.6,10,33,30.3,26,33,78.8,15,27,42,21,11,5,11,20,6
73,NYK,NYK vs. MIL,04/07/2018,L,240,102,41,95,43.2,9,21,42.9,11,11,100.0,13,31,44,30,3,7,11,17,-13
74,MIL,MIL @ NYK,04/07/2018,W,240,115,45,93,48.4,10,25,40.0,15,17,88.2,12,36,48,30,6,10,10,13,13
75,CHI,CHI vs. BKN,04/07/2018,L,240,96,36,88,40.9,6,29,20.7,18,21,85.7,4,35,39,16,8,1,13,14,-28
76,BKN,BKN @ CHI,04/07/2018,W,240,124,46,92,50.0,24,55,43.6,8,11,72.7,5,41,46,36,11,10,15,18,28
77,SAS,SAS vs. POR,04/07/2018,W,240,116,47,84,56.0,7,21,33.3,15,21,71.4,4,32,36,21,12,3,8,12,11
78,POR,POR @ SAS,04/07/2018,L,240,105,42,88,47.7,11,28,39.3,10,11,90.9,11,29,40,18,4,5,13,17,-11
79,GSW,GSW vs. NOP,04/07/2018,L,240,120,49,90,54.4,15,33,45.5,7,11,63.6,8,34,42,31,3,0,17,21,-6
80,NOP,NOP @ GSW,04/07/2018,W,240,126,49,87,56.3,11,27,40.7,17,22,77.3,4,30,34,39,15,6,8,16,6
81,MEM,MEM vs. SAC,04/06/2018,L,240,93,37,84,44.0,6,24,25.0,13,18,72.2,12,26,38,20,7,7,15,12,-1
82,SAC,SAC @ MEM,04/06/2018,W,240,94,40,85,47.1,6,24,25.0,8,12,66.7,10,32,42,23,8,5,16,21,1
83,IND,IND @ TOR,04/06/2018,L,240,73,26,87,29.9,7,21,33.3,14,20,70.0,12,32,44,16,8,8,13,21,-19
84,TOR,TOR vs. IND,04/06/2018,W,240,92,36,84,42.9,9,30,30.0,11,16,68.8,9,43,52,27,9,8,23,17,19
