;TEAM;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;STL;BLK;TOV;PF;+/-
590;IND;IND vs. NYK;12/16/2018;W;240;110;40;87;46.0;12;34;35.3;18;23;78.3;11;34;45;28;9;4;13;18;11
591;NYK;NYK @ IND;12/16/2018;L;240;99;37;89;41.6;10;32;31.3;15;22;68.2;13;31;44;21;7;1;17;19;-11
592;DAL;DAL vs. SAC;12/16/2018;L;240;113;40;96;41.7;9;35;25.7;24;31;77.4;16;37;53;22;6;5;14;18;-7
593;SAC;SAC @ DAL;12/16/2018;W;240;120;46;98;46.9;9;31;29.0;19;21;90.5;11;36;47;20;6;7;9;26;7
594;PHI;PHI @ CLE;12/16/2018;W;240;128;51;91;56.0;11;27;40.7;15;20;75.0;12;36;48;32;5;9;11;18;23
595;CLE;CLE vs. PHI;12/16/2018;L;240;105;41;88;46.6;12;30;40.0;11;17;64.7;6;27;33;28;8;0;12;20;-23
596;ATL;ATL @ BKN;12/16/2018;L;240;127;47;85;55.3;14;29;48.3;19;25;76.0;8;25;33;38;9;5;14;22;-17
597;BKN;BKN vs. ATL;12/16/2018;W;240;144;49;88;55.7;16;40;40.0;30;33;90.9;10;29;39;34;12;3;13;21;17
598;LAC;LAC @ OKC;12/15/2018;L;240;104;38;75;50.7;13;25;52.0;15;22;68.2;6;38;44;18;7;4;26;22;-6
599;OKC;OKC vs. LAC;12/15/2018;W;240;110;42;90;46.7;9;22;40.9;17;24;70.8;9;31;40;26;13;7;12;20;6
600;HOU;HOU @ MEM;12/15/2018;W;240;105;35;73;47.9;13;37;35.1;22;25;88.0;6;30;36;23;5;2;14;22;8
601;MEM;MEM vs. HOU;12/15/2018;L;240;97;40;75;53.3;5;23;21.7;12;17;70.6;6;29;35;20;8;6;15;22;-8
602;LAL;LAL @ CHA;12/15/2018;W;240;128;49;92;53.3;14;34;41.2;16;24;66.7;10;42;52;34;12;6;16;20;28
603;CHA;CHA vs. LAL;12/15/2018;L;240;100;39;92;42.4;7;29;24.1;15;18;83.3;9;29;38;22;3;6;18;19;-28
604;UTA;UTA @ ORL;12/15/2018;L;240;89;28;89;31.5;7;29;24.1;26;28;92.9;11;31;42;17;13;4;10;19;-7
605;ORL;ORL vs. UTA;12/15/2018;W;240;96;34;72;47.2;11;24;45.8;17;20;85.0;4;44;48;18;7;10;22;27;7
606;BOS;BOS @ DET;12/15/2018;L;240;104;39;94;41.5;9;33;27.3;17;23;73.9;12;32;44;19;11;4;14;25;-9
607;DET;DET vs. BOS;12/15/2018;W;240;113;39;80;48.8;10;30;33.3;25;35;71.4;10;38;48;25;10;7;20;21;9
608;MIN;MIN @ PHX;12/15/2018;L;240;99;39;96;40.6;7;35;20.0;14;19;73.7;11;30;41;26;10;4;11;19;-8
609;PHX;PHX vs. MIN;12/15/2018;W;240;107;41;90;45.6;9;28;32.1;16;20;80.0;11;40;51;30;6;7;16;22;8
610;SAS;SAS vs. CHI;12/15/2018;L;240;93;32;73;43.8;7;21;33.3;22;26;84.6;7;34;41;18;3;5;15;18;-5
611;CHI;CHI @ SAS;12/15/2018;W;240;98;37;86;43.0;6;29;20.7;18;21;85.7;8;32;40;16;12;8;9;20;5
612;MEM;MEM vs. MIA;12/14/2018;L;240;97;35;83;42.2;8;29;27.6;19;25;76.0;10;24;34;21;9;5;8;18;-3
613;MIA;MIA @ MEM;12/14/2018;W;240;100;36;82;43.9;15;39;38.5;13;18;72.2;14;36;50;30;3;8;17;20;3
614;CHA;CHA vs. NYK;12/14/2018;L;265;124;48;102;47.1;20;48;41.7;8;10;80.0;9;42;51;38;7;5;16;23;-2
615;NYK;NYK @ CHA;12/14/2018;W;265;126;47;98;48.0;12;34;35.3;20;31;64.5;9;37;46;27;11;8;10;16;2
616;GSW;GSW @ SAC;12/14/2018;W;240;130;44;96;45.8;15;40;37.5;27;36;75.0;15;45;60;32;5;0;18;23;5
617;SAC;SAC vs. GSW;12/14/2018;L;240;125;45;96;46.9;15;44;34.1;20;25;80.0;7;35;42;33;6;3;13;28;-5
